intensity,cell,cell_type,peak_abs_dv_mV
0.01,PC1,PC,5.317157475834641
0.01,PC2,PC,5.317157475834321
0.01,PC3,PC,5.317157475835607
0.01,PC4,PC,5.317157475835366
0.01,PC5,PC,5.317157475834968
0.01,PC6,PC,5.317157475834797
0.01,PC7,PC,5.31715747583528
0.01,PC8,PC,5.317157475835025
0.01,PC9,PC,5.31715747583462
0.01,PC10,PC,5.317157475834549
0.01,PC11,PC,5.3171574758352165
0.01,PC12,PC,5.3171574758352875
0.01,PC13,PC,5.317157475833831
0.01,PC14,PC,5.317157475836083
0.01,PC15,PC,5.317157475834833
0.01,PC16,PC,5.317157475834129
0.01,HC1,HC,2.1717746818897794
0.01,HC2,HC,2.1717746818897794
0.01,HC3,HC,2.1717746818897368
0.01,HC4,HC,2.1717746818897368
0.01,ONBC1,ONBC,2.216942992799325
0.01,ONBC2,ONBC,2.2169429927993747
0.01,ONBC3,ONBC,2.216942992799254
0.01,ONBC4,ONBC,2.2169429927991118
0.01,MG1,MG,3.271526804771213
0.01,MG2,MG,3.2715268047712556
0.01,MG3,MG,3.2715268047711987
0.01,MG4,MG,3.2715268047712414
0.01,A21,A2,1.5341867828463762
0.01,A22,A2,1.5341867828463407
0.01,A23,A2,1.534186782846355
0.01,A24,A2,1.5341867828463691
0.01,GC1,GC,0.0002169407230780962
0.03,PC1,PC,9.159103872072414
0.03,PC2,PC,9.159103872071704
0.03,PC3,PC,9.159103872074553
0.03,PC4,PC,9.159103872073864
0.03,PC5,PC,9.15910387207309
0.03,PC6,PC,9.159103872072414
0.03,PC7,PC,9.159103872073757
0.03,PC8,PC,9.159103872073203
0.03,PC9,PC,9.1591038720724
0.03,PC10,PC,9.159103872072478
0.03,PC11,PC,9.159103872073537
0.03,PC12,PC,9.159103872073729
0.03,PC13,PC,9.159103872070581
0.03,PC14,PC,9.159103872075164
0.03,PC15,PC,9.159103872072677
0.03,PC16,PC,9.15910387207159
0.03,HC1,HC,24.03951301055492
0.03,HC2,HC,24.039513010554927
0.03,HC3,HC,24.039513010554927
0.03,HC4,HC,24.039513010554927
0.03,ONBC1,ONBC,23.617412252005046
0.03,ONBC2,ONBC,23.617412252004975
0.03,ONBC3,ONBC,23.617412252004954
0.03,ONBC4,ONBC,23.617412252004556
0.03,MG1,MG,12.787108038521765
0.03,MG2,MG,12.787108038521772
0.03,MG3,MG,12.787108038521737
0.03,MG4,MG,12.787108038521794
0.03,A21,A2,36.36935984966553
0.03,A22,A2,36.36935984966553
0.03,A23,A2,36.369359849665535
0.03,A24,A2,36.36935984966552
0.03,GC1,GC,109.89565597812837
0.1,PC1,PC,10.910191143131023
0.1,PC2,PC,10.910191143130042
0.1,PC3,PC,10.91019114313363
0.1,PC4,PC,10.910191143132828
0.1,PC5,PC,10.910191143131847
0.1,PC6,PC,10.910191143130987
0.1,PC7,PC,10.910191143132629
0.1,PC8,PC,10.910191143132003
0.1,PC9,PC,10.910191143130952
0.1,PC10,PC,10.910191143130938
0.1,PC11,PC,10.910191143132408
0.1,PC12,PC,10.91019114313253
0.1,PC13,PC,10.910191143128664
0.1,PC14,PC,10.910191143134242
0.1,PC15,PC,10.910191143131364
0.1,PC16,PC,10.9101911431299
0.1,HC1,HC,33.71518200181672
0.1,HC2,HC,33.71518200181675
0.1,HC3,HC,33.71518200181672
0.1,HC4,HC,33.71518200181672
0.1,ONBC1,ONBC,24.013486559477947
0.1,ONBC2,ONBC,24.01348655947791
0.1,ONBC3,ONBC,24.013486559477926
0.1,ONBC4,ONBC,24.013486559477833
0.1,MG1,MG,14.09039876268455
0.1,MG2,MG,14.09039876268453
0.1,MG3,MG,14.090398762684487
0.1,MG4,MG,14.090398762684451
0.1,A21,A2,36.57691721737922
0.1,A22,A2,36.57691721737922
0.1,A23,A2,36.57691721737921
0.1,A24,A2,36.576917217379204
0.1,GC1,GC,117.5173233751952
0.3,PC1,PC,11.596914702869874
0.3,PC2,PC,11.596914702868851
0.3,PC3,PC,11.596914702872652
0.3,PC4,PC,11.596914702871793
0.3,PC5,PC,11.596914702870727
0.3,PC6,PC,11.596914702869803
0.3,PC7,PC,11.596914702871608
0.3,PC8,PC,11.596914702870869
0.3,PC9,PC,11.596914702869846
0.3,PC10,PC,11.596914702869789
0.3,PC11,PC,11.596914702871409
0.3,PC12,PC,11.596914702871423
0.3,PC13,PC,11.596914702867387
0.3,PC14,PC,11.596914702873448
0.3,PC15,PC,11.596914702870208
0.3,PC16,PC,11.596914702868759
0.3,HC1,HC,34.3069333946403
0.3,HC2,HC,34.30693339464026
0.3,HC3,HC,34.3069333946403
0.3,HC4,HC,34.30693339464036
0.3,ONBC1,ONBC,24.029852436518397
0.3,ONBC2,ONBC,24.029852436518354
0.3,ONBC3,ONBC,24.02985243651834
0.3,ONBC4,ONBC,24.029852436518254
0.3,MG1,MG,14.107812821978548
0.3,MG2,MG,14.107812821978612
0.3,MG3,MG,14.107812821978563
0.3,MG4,MG,14.107812821978612
0.3,A21,A2,36.5839224006026
0.3,A22,A2,36.58392240060258
0.3,A23,A2,36.58392240060258
0.3,A24,A2,36.5839224006026
0.3,GC1,GC,119.04494992508873
1.0,PC1,PC,11.323754212325873
1.0,PC2,PC,11.323754212324943
1.0,PC3,PC,11.32375421232858
1.0,PC4,PC,11.323754212327785
1.0,PC5,PC,11.323754212326698
1.0,PC6,PC,11.323754212325852
1.0,PC7,PC,11.3237542123276
1.0,PC8,PC,11.323754212326861
1.0,PC9,PC,11.323754212325852
1.0,PC10,PC,11.323754212325838
1.0,PC11,PC,11.323754212327366
1.0,PC12,PC,11.32375421232743
1.0,PC13,PC,11.323754212323465
1.0,PC14,PC,11.32375421232934
1.0,PC15,PC,11.323754212326243
1.0,PC16,PC,11.3237542123248
1.0,HC1,HC,34.345954540223694
1.0,HC2,HC,34.34595454022368
1.0,HC3,HC,34.34595454022368
1.0,HC4,HC,34.34595454022368
1.0,ONBC1,ONBC,24.027072427352508
1.0,ONBC2,ONBC,24.027072427352536
1.0,ONBC3,ONBC,24.027072427352515
1.0,ONBC4,ONBC,24.02707242735243
1.0,MG1,MG,14.11109435261482
1.0,MG2,MG,14.111094352614813
1.0,MG3,MG,14.111094352614842
1.0,MG4,MG,14.1110943526148
1.0,A21,A2,36.58781872742148
1.0,A22,A2,36.587818727421464
1.0,A23,A2,36.58781872742145
1.0,A24,A2,36.58781872742148
1.0,GC1,GC,114.42018381804213
3.0,PC1,PC,11.271096807178544
3.0,PC2,PC,11.2710968071776
3.0,PC3,PC,11.271096807181209
3.0,PC4,PC,11.271096807180413
3.0,PC5,PC,11.271096807179354
3.0,PC6,PC,11.271096807178509
3.0,PC7,PC,11.271096807180214
3.0,PC8,PC,11.271096807179497
3.0,PC9,PC,11.271096807178495
3.0,PC10,PC,11.271096807178466
3.0,PC11,PC,11.271096807180037
3.0,PC12,PC,11.271096807180065
3.0,PC13,PC,11.271096807176171
3.0,PC14,PC,11.271096807181976
3.0,PC15,PC,11.271096807178921
3.0,PC16,PC,11.2710968071775
3.0,HC1,HC,34.34731308461248
3.0,HC2,HC,34.34731308461244
3.0,HC3,HC,34.347313084612466
3.0,HC4,HC,34.34731308461248
3.0,ONBC1,ONBC,24.025443560912294
3.0,ONBC2,ONBC,24.025443560912308
3.0,ONBC3,ONBC,24.025443560912294
3.0,ONBC4,ONBC,24.0254435609122
3.0,MG1,MG,14.113723705767718
3.0,MG2,MG,14.113723705767747
3.0,MG3,MG,14.113723705767704
3.0,MG4,MG,14.113723705767754
3.0,A21,A2,36.58821131902704
3.0,A22,A2,36.58821131902704
3.0,A23,A2,36.588211319027025
3.0,A24,A2,36.58821131902704
3.0,GC1,GC,112.39539426268931
10.0,PC1,PC,11.25173438372265
10.0,PC2,PC,11.251734383721697
10.0,PC3,PC,11.25173438372532
10.0,PC4,PC,11.251734383724518
10.0,PC5,PC,11.25173438372346
10.0,PC6,PC,11.251734383722592
10.0,PC7,PC,11.25173438372434
10.0,PC8,PC,11.251734383723615
10.0,PC9,PC,11.2517343837226
10.0,PC10,PC,11.251734383722592
10.0,PC11,PC,11.25173438372412
10.0,PC12,PC,11.251734383724163
10.0,PC13,PC,11.251734383720255
10.0,PC14,PC,11.251734383726095
10.0,PC15,PC,11.251734383723033
10.0,PC16,PC,11.251734383721598
10.0,HC1,HC,34.34744508126386
10.0,HC2,HC,34.34744508126384
10.0,HC3,HC,34.34744508126384
10.0,HC4,HC,34.34744508126387
10.0,ONBC1,ONBC,24.02437319948865
10.0,ONBC2,ONBC,24.02437319948868
10.0,ONBC3,ONBC,24.02437319948867
10.0,ONBC4,ONBC,24.024373199488544
10.0,MG1,MG,14.607685789326247
10.0,MG2,MG,14.607685789326212
10.0,MG3,MG,14.607685789326219
10.0,MG4,MG,14.607685789326219
10.0,A21,A2,36.588263926897405
10.0,A22,A2,36.588263926897405
10.0,A23,A2,36.5882639268974
10.0,A24,A2,36.5882639268974
10.0,GC1,GC,110.94989123504928
