Type,Intensity,Duration,CumulativeIntensity,TimeStart,TimeEnd
UniformFlash,0.37066000000000004,1.0,0.37066000000000004,0.0,1.0
UniformFlash,0.37066000000000004,2.0,0.7413200000000001,0.0,2.0
UniformFlash,0.37066000000000004,4.0,1.4826400000000002,0.0,4.0
UniformFlash,0.747,4.0,2.988,0.0,4.0
UniformFlash,3.7066000000000003,4.0,14.826400000000001,0.0,4.0
UniformFlash,37.06600000000001,1.0,37.06600000000001,0.0,1.0
UniformFlash,37.06600000000001,2.0,74.13200000000002,0.0,2.0
UniformFlash,37.06600000000001,4.0,148.26400000000004,0.0,4.0
UniformFlash,370.6600000000001,1.0,370.6600000000001,0.0,1.0
UniformFlash,370.6600000000001,2.0,741.3200000000002,0.0,2.0
UniformFlash,370.6600000000001,4.0,1482.6400000000003,0.0,4.0
UniformFlash,3706.6000000000004,1.0,3706.6000000000004,0.0,1.0
UniformFlash,3706.6000000000004,2.0,7413.200000000001,0.0,2.0
UniformFlash,3.7066000000000003,2.0,7.413200000000001,0.0,2.0
